method,region,roi,sensitivity,specificity,PPV,NPV,subject
SPM,ROI 2,10,98.47662263998056,56.84513115343155,77.13252094440213,96.18970409404136,C1
SPM,ROI 2,10,95.43407780979828,68.93683702989392,80.4387429785942,91.85672984259556,C10
SPM,ROI 2,10,98.2161753590325,58.78686166386957,79.07740993184032,95.40856031128403,C11
SPM,ROI 2,10,0,96.99663623258049,0,83.50398179749715,C12
SPM,ROI 2,10,5.787037037037037,95.32608695652172,20.53388090349076,82.90095578195567,C13
SPM,ROI 2,10,12.64131551901336,96.89979250579763,49.2,82.36331569664902,C14
SPM,ROI 2,10,97.79815076006896,59.76609597299253,78.90378050322417,94.63535700649103,C15
SPM,ROI 2,10,96.95792345209556,62.29666224846368,78.94063804011307,93.35500180570602,C16
SPM,ROI 2,10,75.34100596760443,84.82121430285578,73.64583333333333,85.93484074884512,C17
SPM,ROI 2,10,99.71064416121254,53.650416171224734,78.78177562462577,99.07773386034256,C18
SPM,ROI 2,10,96.63514578408196,60.854307841239105,79.12633888243644,92.17375366568916,C19
SPM,ROI 2,10,99.91139585605234,53.722114451988354,79.3407663996536,99.70747074707472,C2
SPM,ROI 2,10,90.3563255966002,76.88484848484849,81.30208844004314,87.75594908688434,C20
SPM,ROI 2,10,95.127765064836,68.45301893533404,79.01948360525898,91.8357565106247,C21
SPM,ROI 2,10,0,97.39602169981916,0,83.26290837885189,C22
SPM,ROI 2,10,52.760736196319016,94.64955816487108,78.70905587668592,84.23831070889895,C23
SPM,ROI 2,10,99.8928418345478,53.38372930165587,78.25721961047682,99.66397849462363,C24
SPM,ROI 2,10,84.16060701865318,78.51318944844124,74.81731309724564,86.72847682119206,C25
SPM,ROI 2,10,0,99.3595166163142,0,83.33671193999595,C3
SPM,ROI 2,10,39.99186330349878,92.30861819932596,60.604192355117135,83.86920384951881,C4
SPM,ROI 2,10,94.96470588235294,68.47604179176174,79.35509241053873,91.42215808882476,C5
SPM,ROI 2,10,99.38309215536938,53.66753989045011,77.03069657615113,98.23452484742808,C6
SPM,ROI 2,10,98.06804849432928,58.26337251139362,78.27444125358971,95.16160626836437,C7
